Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Partisan,Affiliation
AP-GfK (web),2016-02-11,2016-02-15,2016-02-21T15:00:28Z,1033,Adults,Internet,32,58,10,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-23821,http://ap-gfkpoll.com/main/wp-content/uploads/2016/02/AP-GfK_Poll_February-2016-topline_Republicans.pdf,Nonpartisan,None
YouGov/Economist,2016-02-11,2016-02-15,2016-02-18T16:28:27Z,1977,Adults,Internet,38,57,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23794,https://today.yougov.com/news/2016/02/18/trump-dominates-gop-field-nationally-kasich-gains/,Nonpartisan,None
Quinnipiac,2016-02-10,2016-02-15,2016-02-18T15:18:37Z,1342,Registered Voters,Live Phone,37,57,6,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23790,http://www.quinnipiac.edu/images/polling/us/us02182016_Urpfd42.pdf,Nonpartisan,None
Morning Consult,2016-02-10,2016-02-11,2016-02-12T15:34:31Z,1600,Registered Voters,Internet,44,51,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23744,http://morningconsult.com/2016/02/donald-trump-bernie-sanders-national-polling/,Nonpartisan,None
Morning Consult,2016-02-03,2016-02-07,2016-02-09T22:39:37Z,4287,Registered Voters,Internet,40,54,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23731,http://morningconsult.com/2016/02/poll-cruz-rubio-gain-heading-to-new-hampshire/,Nonpartisan,None
YouGov/Economist,2016-02-03,2016-02-04,2016-02-05T21:52:39Z,1000,Adults,Internet,35,61,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23689,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kjfab8jwpo/tabs_HP_OP_Presidential_Primary_20160204.pdf,Nonpartisan,None
Quinnipiac,2016-02-02,2016-02-04,2016-02-05T12:41:40Z,1125,Registered Voters,Live Phone,34,59,7,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23675,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2321,Nonpartisan,None
Morning Consult,2016-02-02,2016-02-03,2016-02-03T19:49:33Z,1508,Registered Voters,Internet,39,53,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23659,https://morningconsult.com/2016/02/bernie-sanders-marco-rubio-ted-cruz-rise-after-iowa//,Nonpartisan,None
PPP (D),2016-02-02,2016-02-03,2016-02-09T17:00:29Z,1236,Likely Voters,IVR/Online,30,63,7,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23727,http://www.publicpolicypolling.com/pdf/2015/2016results.pdf,Pollster,Dem
Morning Consult,2016-01-29,2016-02-01,2016-02-01T21:20:47Z,3739,Registered Voters,Internet,39,56,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23648,http://morningconsult.com/2016/02/donald-trump-poll-numbers-iowa-caucuses/,Nonpartisan,None
YouGov/Economist,2016-01-27,2016-01-30,2016-02-02T21:05:23Z,2000,Adults,Internet,36,58,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23654,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yga7thfd97/econToplines.pdf,Nonpartisan,None
CNN,2016-01-21,2016-01-24,2016-01-26T12:30:45Z,1002,Adults,Live Phone,40,55,4,http://elections.huffingtonpost.com/pollster/polls/cnn-23592,http://www.cnn.com/2016/01/26/politics/poll-republicans-results-cnn-orc/index.html,Nonpartisan,None
Public Religion Research Institute,2016-01-20,2016-01-24,2016-01-28T00:32:10Z,1009,Adults,Live Phone,31,64,5,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23613,http://publicreligion.org/research/2016/01/survey-trump-gains-ground-with-white-evangelical-voters-solidifies-lead-with-republican-voters-nationwide/#.VqlgIDYdXdl,Nonpartisan,None
Morning Consult,2016-01-21,2016-01-24,2016-01-26T20:19:29Z,1405,Registered Voters,Internet,38,56,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600,http://big.assets.huffingtonpost.com/160103_topline_trend_v4_TS.pdf,Nonpartisan,None
YouGov/Economist,2016-01-15,2016-01-19,2016-01-21T21:25:57Z,2000,Adults,Internet,40,54,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23553,https://today.yougov.com/news/2016/01/21/trump-cruz-battle-donald-trump-still-leads/,Nonpartisan,None
Morning Consult,2016-01-14,2016-01-17,2016-01-19T19:11:34Z,4060,Registered Voters,Internet,42,52,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526,http://morningconsult.com/wp-content/uploads/2016/01/160102_Topline-Trend.pdf,Nonpartisan,None
ABC/Post,2016-01-06,2016-01-10,2016-01-13T12:13:11Z,1000,Adults,Live Phone,35,62,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-23491,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-jan-6-10-2015/1933/,Nonpartisan,None
Morning Consult,2016-01-08,2016-01-10,2016-01-14T16:33:59Z,2173,Registered Voters,Internet,43,52,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23500,http://big.assets.huffingtonpost.com/160101crosstabstrend.pdf,Nonpartisan,None
YouGov/Economist,2015-12-31,2016-01-06,2016-01-10T22:15:48Z,2000,Adults,Internet,39,54,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23466,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kkv0bg7tc3/econTabReport.pdf,Nonpartisan,None
YouGov/Economist,2015-12-18,2015-12-21,2015-12-28T15:24:54Z,2000,Adults,Internet,38,56,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23415,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/u2bkqtsd3k/econToplines.pdf,Nonpartisan,None
CNN,2015-12-17,2015-12-21,2015-12-23T12:12:21Z,1018,Adults,Live Phone,39,57,3,http://elections.huffingtonpost.com/pollster/polls/cnn-23404,http://i2.cdn.turner.com/cnn/2015/images/12/22/cnnpoll.pdf,Nonpartisan,None
Emerson College Polling Society,2015-12-17,2015-12-20,2015-12-21T16:37:14Z,754,Registered Voters,Automated Phone,35,54,12,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395,http://media.wix.com/ugd/3bebb2_b85d13974aeb4901bd68916b963cea3c.pdf,Nonpartisan,None
Quinnipiac,2015-12-16,2015-12-20,2015-12-22T14:45:28Z,1140,Registered Voters,Live Phone,33,59,8,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400,http://www.quinnipiac.edu/images/polling/us/us12222015_Uhkm63g.pdf,Nonpartisan,None
PPP (D),2015-12-16,2015-12-17,2015-12-21T17:15:45Z,1267,Likely Voters,IVR/Online,35,56,9,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23396,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_122115.pdf,Pollster,Dem
Morning Consult,2015-12-11,2015-12-15,2015-12-15T20:45:27Z,4038,Registered Voters,Internet,41,52,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333,http://big.assets.huffingtonpost.com/151203crosstabstrendTS.pdf,Nonpartisan,None
NBC/WSJ,2015-12-06,2015-12-09,2015-12-14T13:45:41Z,1000,Adults,Live Phone,27,59,14,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23315,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15564%20NBCWSJ%20December%20Poll%20(AM%2012-14-15%20Release).pdf,Nonpartisan,None
YouGov/Economist,2015-12-04,2015-12-09,2015-12-10T21:41:27Z,2000,Adults,Internet,39,55,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23302,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xc6vxh6xkf/econToplines.pdf,Nonpartisan,None
Bloomberg/Purple Strategies,2015-12-08,2015-12-08,2015-12-11T21:29:11Z,605,Likely Voters,Internet,33,64,,http://elections.huffingtonpost.com/pollster/polls/bloomberg-purple-strategies-23306,https://www.scribd.com/doc/292796480/Bloomberg-Politics-Purple-Strategies-Trump-poll,Nonpartisan,None
AP-GfK (web),2015-12-03,2015-12-07,2015-12-15T04:53:13Z,1007,Adults,Internet,30,58,12,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-23325,http://ap-gfkpoll.com/main/wp-content/uploads/2015/12/AP-GfK_Poll_December-2015-Final-topline_GOP.pdf,Nonpartisan,None
Morning Consult,2015-12-03,2015-12-07,2015-12-08T22:24:57Z,2047,Registered Voters,Internet,46,48,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281,http://big.assets.huffingtonpost.com/151201crosstabstrend_AP.pdf,Nonpartisan,None
Suffolk/USA Today,2015-12-02,2015-12-06,2015-12-08T20:23:37Z,1000,Likely Voters,Live Phone,30,60,10,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
MSNBC/Telemundo/Marist,2015-11-15,2015-12-02,2015-12-07T20:25:31Z,3121,Adults,Live Phone,27,55,3,http://elections.huffingtonpost.com/pollster/polls/msnbc-telemundo-marist-23269,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/MSNBC_Telemundo_Marist%20Poll_National%20Annotated%20Questionnaire_December%202015.pdf,Nonpartisan,None
Quinnipiac,2015-11-23,2015-11-30,2015-12-02T12:04:16Z,1453,Registered Voters,Live Phone,35,57,8,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307,Nonpartisan,None
YouGov/Economist,2015-11-19,2015-11-23,2015-11-25T16:07:28Z,2000,Adults,Internet,38,55,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23236,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lz22bazbpo/econToplines.pdf,Nonpartisan,None
Bloomberg/Selzer,2015-11-15,2015-11-17,2015-11-19T17:27:19Z,1002,Adults,Live Phone,34,61,5,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179,http://www.scribd.com/doc/290373723/Bloomberg-Politics-National-Poll-GOP-Nov-19-2015,Nonpartisan,None
PPP (D),2015-11-16,2015-11-17,2015-11-19T15:33:58Z,1360,Likely Voters,IVR/Online,34,55,11,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23175,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf,Pollster,Dem
Morning Consult,2015-11-13,2015-11-16,2015-11-17T15:45:58Z,2001,Registered Voters,Internet,42,52,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158,http://big.assets.huffingtonpost.com/151104crosstabstrend.pdf,Nonpartisan,None
Public Religion Research Institute,2015-11-06,2015-11-10,2015-11-23T16:21:55Z,1010,Adults,Live Phone,27,65,8,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214,http://big.assets.huffingtonpost.com/AVS-2015-Election-Supplement-Topline.pdf,Nonpartisan,None
YouGov/Economist,2015-11-05,2015-11-09,2015-11-10T19:47:52Z,2000,Adults,Internet,38,54,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23109,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf,Nonpartisan,None
ABC/Post,2015-11-04,2015-11-08,2015-11-10T20:41:04Z,1023,Adults,Live Phone,38,59,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-23111,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-nov-4-8-2015/1869/,Nonpartisan,None
Morning Consult,2015-11-05,2015-11-08,2015-11-10T17:55:28Z,4002,Registered Voters,Internet,43,49,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107,http://big.assets.huffingtonpost.com/151102crosstabstrend.pdf,Nonpartisan,None
Quinnipiac,2015-10-29,2015-11-02,2015-11-04T16:23:42Z,1144,Registered Voters,Live Phone,37,56,7,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2299,Nonpartisan,None
Gallup,2015-10-19,2015-11-01,2015-11-05T17:12:03Z,7121,Adults,Live Phone,34,56,,http://elections.huffingtonpost.com/pollster/polls/gallup-23074,http://www.gallup.com/poll/186494/carson-best-liked-presidential-candidates.aspx,Nonpartisan,None
Morning Consult,2015-10-29,2015-11-01,2015-11-03T20:26:04Z,2350,Registered Voters,Internet,43,50,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056,http://morningconsult.com/polls/new-poll-jeb-bushs-popularity-problem-trump-down-for-second-consecutive-week/,Nonpartisan,None
NBC/WSJ,2015-10-25,2015-10-29,2015-11-03T16:49:49Z,1000,Adults,Live Phone,27,56,17,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23052,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%2011-3-15%20Release.pdf,Nonpartisan,None
YouGov/Economist,2015-10-23,2015-10-27,2015-10-28T18:31:56Z,2000,Adults,Internet,37,56,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23014,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uobybjo8zg/econToplines.pdf,Nonpartisan,None
Morning Consult,2015-10-22,2015-10-25,2015-10-26T21:12:38Z,1689,Registered Voters,Internet,44,49,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994,http://morningconsult.com/wp-content/uploads/2015/10/151006_topline_trend_v2_AP.pdf,Nonpartisan,None
Morning Consult,2015-10-15,2015-10-19,2015-10-20T17:31:31Z,2017,Registered Voters,Internet,41,52,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950,http://morningconsult.com/wp-content/uploads/2015/10/151005_topline_trend_v2_TS.pdf,Nonpartisan,None
NBC/WSJ,2015-10-15,2015-10-18,2015-10-19T21:14:25Z,1000,Adults,Live Phone,30,53,17,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22940,http://www.scribd.com/doc/286132150/15462-NBCWSJ-Oct-Poll-Final,Nonpartisan,None
Emerson College Polling Society,2015-10-16,2015-10-17,2015-10-20T18:55:01Z,783,Registered Voters,Automated Phone,40,53,7,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22951,http://big.assets.huffingtonpost.com/ECPS_POTUS_10.19.pdf,Nonpartisan,None
YouGov/Economist,2015-10-08,2015-10-12,2015-10-14T21:33:18Z,2000,Adults,Internet,38,55,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22920,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oxhxk3fmq5/econTabReport.pdf,Nonpartisan,None
Morning Consult,2015-10-08,2015-10-12,2015-10-13T15:48:47Z,2002,Registered Voters,Internet,42,50,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902,http://morningconsult.com/2015/10/ahead-of-debate-clinton-lead-grows/,Nonpartisan,None
CBS,2015-10-04,2015-10-08,2015-10-12T16:20:35Z,1038,Registered Voters,Live Phone,28,53,20,http://elections.huffingtonpost.com/pollster/polls/cbs-22890,http://www.scribd.com/doc/284426064/CBS-News-poll-2016-Republican-presidential-campaign,Nonpartisan,None
Morning Consult,2015-10-02,2015-10-05,2015-10-06T21:34:11Z,1983,Registered Voters,Internet,43,50,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858,http://morningconsult.com/wp-content/uploads/2015/10/151001_topline_trend_v1_AP.pdf,Nonpartisan,None
Public Religion Research Institute,2015-09-11,2015-10-04,2015-11-23T17:38:53Z,2695,Adults,Live Phone,30,66,4,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215,http://big.assets.huffingtonpost.com/American-Values-Survey-2015-Topline1.pdf,Nonpartisan,None
PPP (D),2015-10-01,2015-10-04,2015-10-06T18:56:54Z,1338,Likely Voters,IVR/Online,34,56,10,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22856,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf,Pollster,Dem
YouGov/Economist,2015-09-25,2015-09-29,2015-10-01T17:56:51Z,2000,Adults,Internet,35,59,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22829,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8w1iq3dtp2/econToplines.pdf,Nonpartisan,None
Suffolk/USA Today,2015-09-24,2015-09-28,2015-09-30T16:27:03Z,1000,Likely Voters,Live Phone,27,61,12,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822,http://www.suffolk.edu/documents/SUPRC/10_1_2015_complete_marginals.pdf,Nonpartisan,None
ABC/Post,2015-09-23,2015-09-27,2015-09-30T16:08:02Z,1000,Adults,Live Phone,35,60,5,http://elections.huffingtonpost.com/pollster/polls/abc-post-22821,http://www.washingtonpost.com/politics/polling/washington-postabc-news-poll-sept-2327/2015/09/30/6bab808a-6762-11e5-bdb6-6861f4521205_page.html,Nonpartisan,None
Morning Consult,2015-09-24,2015-09-27,2015-09-29T19:48:50Z,1543,Registered Voters,Internet,41,53,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22814,http://morningconsult.com/wp-content/uploads/2015/09/150908_topline_trend_v1_JW.pdf,Nonpartisan,None
NBC/WSJ,2015-09-20,2015-09-24,2015-09-29T17:53:01Z,1000,Adults,Live Phone,25,58,17,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22808,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15398%20NBCWSJ%20September%20Poll%20(2).pdf,Nonpartisan,None
FOX,2015-09-20,2015-09-22,2015-09-28T17:37:40Z,1013,Registered Voters,Live Phone,34,59,7,http://elections.huffingtonpost.com/pollster/polls/fox-22805,http://www.foxnews.com/politics/interactive/2015/09/25/fox-news-poll-clinton-and-carson-favorability-ratings/,Nonpartisan,None
Bloomberg/Selzer,2015-09-18,2015-09-21,2015-09-24T22:08:04Z,1001,Adults,Live Phone,31,61,9,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22787,http://www.bloomberg.com/politics/articles/2015-09-24/most-agree-with-trump-on-america-s-lost-greatness-bloomberg-poll-finds,Nonpartisan,None
Quinnipiac,2015-09-17,2015-09-21,2015-09-24T22:15:01Z,787,Registered Voters,Live Phone,36,57,7,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788,http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf,Nonpartisan,None
Morning Consult,2015-09-18,2015-09-20,2015-09-22T18:00:14Z,4033,Registered Voters,Internet,41,52,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22772,http://morningconsult.com/wp-content/uploads/2015/09/150907_topline_MERGED-trend_v2_KD.pdf,Nonpartisan,None
CNN,2015-09-17,2015-09-19,2015-09-21T19:19:45Z,1006,Adults,Live Phone,31,59,10,http://elections.huffingtonpost.com/pollster/polls/cnn-22761,http://i2.cdn.turner.com/cnn/2015/images/09/20/rel10a.pdf,Nonpartisan,None
YouGov/Economist,2015-09-11,2015-09-15,2015-09-18T19:51:56Z,2000,Adults,Internet,39,53,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22749,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lq8iyjss0l/econToplines_v1.pdf,Nonpartisan,None
Morning Consult,2015-09-11,2015-09-13,2015-09-18T21:11:34Z,2023,Registered Voters,Internet,40,53,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22752,http://morningconsult.com/wp-content/uploads/2015/09/150904_topline_trend_v1_JW.pdf,Nonpartisan,None
MSNBC/Telemundo/Marist,2015-08-26,2015-09-09,2015-09-21T20:38:43Z,1689,Adults,Live Phone,29,55,17,http://elections.huffingtonpost.com/pollster/polls/msnbc-telemundo-marist-22763,http://maristpoll.marist.edu/wp-content/misc/usapolls/us150826/2016/MSNBC_Telemundo_Marist%20Poll_National%20Release%20and%20Tables_September%202015.pdf,Nonpartisan,None
Emerson College Polling Society,2015-09-05,2015-09-08,2015-09-10T18:55:35Z,955,Likely Voters,Automated Phone,40,50,9,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699,http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf,Nonpartisan,None
Morning Consult,2015-09-04,2015-09-07,2015-09-11T01:39:52Z,2008,Registered Voters,Internet,42,53,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22703,http://morningconsult.com/wp-content/uploads/2015/09/150902_crosstabs_trend_v2_JW.pdf,Nonpartisan,None
YouGov/Economist,2015-08-28,2015-09-01,2015-09-04T00:34:09Z,2000,Adults,Internet,39,54,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22659,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k24hv9t9fv/econTabReport.pdf,Nonpartisan,None
ABC/Post,2015-08-26,2015-08-30,2015-09-02T18:33:55Z,1005,Adults,Live Phone,37,59,4,http://elections.huffingtonpost.com/pollster/polls/abc-post-22650,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-august-26-30-2015/1811/,Nonpartisan,None
Morning Consult,2015-08-28,2015-08-30,2015-09-01T01:22:28Z,2015,Registered Voters,Internet,42,52,6,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22640,http://morningconsult.com/wp-content/uploads/2015/08/150805_topline_trend_v2_JW.pdf,Nonpartisan,None
PPP (D),2015-08-28,2015-08-30,2015-09-03T20:26:01Z,1254,Likely Voters,IVR/Online,35,53,12,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22654,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf,Pollster,Dem
Quinnipiac,2015-08-20,2015-08-25,2015-08-27T21:51:28Z,1563,Registered Voters,Live Phone,36,54,10,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22621,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2274,Nonpartisan,None
YouGov/Economist,2015-08-14,2015-08-18,2015-08-24T22:05:33Z,2000,Adults,Internet,38,54,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22602,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zvg9hui4lt/econToplines.pdf,Nonpartisan,None
CNN,2015-08-13,2015-08-16,2015-08-18T18:08:54Z,1001,Adults,Live Phone,36,59,4,http://elections.huffingtonpost.com/pollster/polls/cnn-22572,http://i2.cdn.turner.com/cnn/2015/images/08/17/rel8a.-.gop.2016.pdf,Nonpartisan,None
YouGov/Economist,2015-08-08,2015-08-10,2015-08-12T01:47:42Z,1000,Adults,Internet,32,59,9,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22545,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ykesdk07ow/toplines_OPI_Debate_20150811.pdf,Nonpartisan,None
Morning Consult,2015-08-07,2015-08-09,2015-08-10T21:38:34Z,2029,Registered Voters,Internet,39,53,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526,http://big.assets.huffingtonpost.com/150802_topline_trend_v4_KD.pdf,Nonpartisan,None
YouGov/Economist,2015-07-31,2015-08-04,2015-08-08T00:04:51Z,2000,Adults,Internet,36,55,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22517,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/shw46tymfa/econToplines.pdf,Nonpartisan,None
Morning Consult,2015-07-31,2015-08-03,2015-08-05T01:23:17Z,2069,Registered Voters,Internet,36,52,11,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22487,http://big.assets.huffingtonpost.com/150706_crosstabs_trend_v1_JW.pdf,Nonpartisan,None
CBS,2015-07-29,2015-08-02,2015-08-04T21:07:00Z,1047,Registered Voters,Live Phone,27,59,14,http://elections.huffingtonpost.com/pollster/polls/cbs-22477,http://www.scribd.com/doc/273490309/CBS-News-GOP-presidential-candidates-poll,Nonpartisan,None
NBC/WSJ,2015-07-26,2015-07-30,2015-08-04T23:02:18Z,1000,Adults,Live Phone,26,56,18,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22480,http://msnbcmedia.msn.com/i/MSNBC/Components/Photo/_new/15313JulyNBCWSJPOLL.pdf,Nonpartisan,None
Quinnipiac,2015-07-23,2015-07-28,2015-08-04T00:57:21Z,1644,Registered Voters,Live Phone,27,59,15,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22468,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2264,Nonpartisan,None
Emerson College Polling Society,2015-07-26,2015-07-28,2015-08-11T20:17:22Z,1238,Likely Voters,Automated Phone,31,56,14,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22537,http://media.wix.com/ugd/3bebb2_6f8188f5b1ac4e45bd6a2bd76268e55a.pdf,Nonpartisan,None
CNN,2015-07-22,2015-07-25,2015-07-27T22:01:00Z,1017,Adults,Live Phone,33,58,9,http://elections.huffingtonpost.com/pollster/polls/cnn-22434,http://www.cnn.com/2015/07/26/politics/cnn-orc-data/index.html,Nonpartisan,None
YouGov/Economist,2015-07-20,2015-07-22,2015-07-24T20:15:58Z,1000,Adults,Internet,34,60,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22428,https://today.yougov.com/news/2015/07/24/trumps-support-remains-high-mccain-controversy/?utm_content=buffera4732&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Nonpartisan,None
Gallup,2015-07-08,2015-07-21,2015-07-27T22:49:19Z,2374,Adults,Live Phone,32,56,13,http://elections.huffingtonpost.com/pollster/polls/gallup-22435,http://www.gallup.com/poll/184346/sanders-surges-clinton-sags-favorability.aspx,Nonpartisan,None
PPP (D),2015-07-20,2015-07-21,2015-07-23T17:55:26Z,1087,Likely Voters,IVR/Online,29,60,11,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22415,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf,Pollster,Dem
YouGov/Economist,2015-07-18,2015-07-20,2015-07-24T21:26:18Z,1000,Adults,Internet,33,60,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22429,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3k13yqulyj/econToplines.pdf,Nonpartisan,None
YouGov/Economist,2015-07-11,2015-07-13,2015-07-21T00:44:16Z,1000,Adults,Internet,34,56,11,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22399,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k725t67g2r/econToplines.pdf,Nonpartisan,None
AP-GfK (web),2015-07-09,2015-07-13,2015-07-17T01:00:52Z,1004,Adults,Internet,28,58,14,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-22385,http://ap-gfkpoll.com/main/wp-content/uploads/2015/07/AP-GfK_Poll_July_2015-Topline_Clinton.pdf,Nonpartisan,None
ABC/Post,2015-07-08,2015-07-12,2015-07-17T00:37:14Z,1001,Adults,Live Phone,33,61,6,http://elections.huffingtonpost.com/pollster/polls/abc-post-22384,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-july-8-12-2015/1772/,Nonpartisan,None
Gallup,2015-07-08,2015-07-12,2015-07-22T01:27:21Z,1009,Adults,Live Phone,31,57,12,http://elections.huffingtonpost.com/pollster/polls/gallup-22408,http://www.gallup.com/poll/184115/1999-not-trump-serious-candidate.aspx,Nonpartisan,None
Suffolk/USA Today,2015-07-09,2015-07-12,2015-07-16T00:19:28Z,1000,Likely Voters,Live Phone,23,61,17,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22380,http://www.suffolk.edu/documents/SUPRC/7_15_2015_marginals.pdf,Nonpartisan,None
